ID;Hora de início;Hora de conclusão;Email;Nome;Primeiro Grupo;Informar o número do processo analisado.;Qual é o assunto do processo?;Qual é o resultado do recurso do contribuinte ao Carf?;Dar uma nota para a sua compreensão do texto. Se você considera que conseguiu comprender o voto resumido (lide, argumentos, decisão).;Dar uma nota para a sua compreensão do texto. Se você considera que conseguiu comprender o voto resumido (lide, argumentos, decisão).2;Dar uma nota para a coesão do texto, para o encadeamento das frases. Como o resumo exclui frases, se aparentemente as frases mais importantes foram mantidas. Se não parece haver uma lacuna entre a...
531;4/11/21 16:52:03;4/11/21 16:52:47;;;Terceiro grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;9
637;4/12/21 12:36:51;4/12/21 12:37:27;;;Segundo grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;9
653;4/12/21 13:06:41;4/12/21 13:07:23;;;Segundo grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;10
664;4/12/21 15:07:53;4/12/21 15:08:52;;;Terceiro grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;10
676;4/12/21 15:35:07;4/12/21 15:35:55;;;Terceiro grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;8
691;4/12/21 18:48:57;4/12/21 20:19:35;;;Terceiro grupo;10380902416200856;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;10;10
726;4/12/21 21:35:29;4/12/21 21:37:37;;;Primeiro grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Não sei;;5;4
798;4/13/21 10:44:41;4/13/21 10:45:11;;;Terceiro grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;8
840;4/13/21 12:20:36;4/13/21 12:21:01;;;Segundo grupo;10380902416200856;IRPJ/CSLL;Procedente ou procedente em parte;;10;10
884;4/13/21 15:41:38;4/13/21 15:42:40;;;Segundo grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;8
952;4/14/21 11:12:41;4/14/21 11:13:28;;;Terceiro grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;9
1058;4/15/21 8:33:47;4/15/21 8:34:05;;;Segundo grupo;10380902416200856;IRPJ/CSLL;Procedente ou procedente em parte;;9;9
1060;4/15/21 9:08:28;4/15/21 9:10:15;;;Terceiro grupo;10380902416200856;Não sei;Procedente ou procedente em parte;;10;10
1161;4/15/21 17:02:01;4/15/21 17:02:56;;;Primeiro grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;10
1197;4/15/21 19:56:36;4/15/21 19:57:08;;;Segundo grupo;10380902416200856;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;10;10
1199;4/15/21 15:14:53;4/16/21 8:55:55;;;Segundo grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;6
1274;4/17/21 17:19:45;4/17/21 17:21:00;;;Segundo grupo;10380902416200856;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;7;6
46;3/23/21 18:49:32;3/23/21 18:50:49;;;Primeiro grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;10
63;3/24/21 13:06:25;3/24/21 13:08:55;;;Segundo grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;9
74;3/24/21 16:00:43;3/24/21 16:05:42;;;Terceiro grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;7
113;3/26/21 8:14:46;3/26/21 8:15:23;;;Segundo grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;8
210;3/30/21 14:52:41;3/30/21 14:55:15;;;Segundo grupo;10380903442200982;Não sei;Procedente ou procedente em parte;;9;9
264;3/31/21 16:19:47;3/31/21 16:21:53;;;Primeiro grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;7
323;4/4/21 17:49:02;4/4/21 17:50:43;;;Segundo grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;7
423;4/9/21 23:57:39;4/10/21 0:09:18;;;Segundo grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;7;2
432;4/10/21 9:20:38;4/10/21 9:29:06;;;Primeiro grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;8
479;4/11/21 14:23:38;4/11/21 14:24:03;;;Segundo grupo;10380903442200982;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;9;7
526;4/11/21 16:47:59;4/11/21 16:48:45;;;Terceiro grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;7
627;4/12/21 11:43:12;4/12/21 11:51:40;;;Segundo grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;9
648;4/12/21 12:57:27;4/12/21 12:59:39;;;Segundo grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;10
672;4/12/21 15:21:56;4/12/21 15:24:36;;;Terceiro grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;8
759;4/13/21 9:45:20;4/13/21 9:46:25;;;Primeiro grupo;10380903442200982;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;7
835;4/13/21 12:15:51;4/13/21 12:16:41;;;Segundo grupo;10380903442200982;IRPJ/CSLL;Procedente ou procedente em parte;;10;10
876;4/13/21 15:31:40;4/13/21 15:33:28;;;Segundo grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;8
944;4/14/21 11:06:50;4/14/21 11:07:49;;;Terceiro grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;7
994;4/14/21 15:21:12;4/14/21 15:22:30;;;Segundo grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;10
1054;4/15/21 8:32:02;4/15/21 8:32:16;;;Segundo grupo;10380903442200982;Não sei;Procedente ou procedente em parte;;7;6
1063;4/15/21 9:30:10;4/15/21 9:31:11;;;Terceiro grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;7;8
1104;4/15/21 12:03:57;4/15/21 12:04:20;;;Terceiro grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;10
1192;4/15/21 19:51:28;4/15/21 19:51:48;;;Segundo grupo;10380903442200982;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;9;9
1200;4/16/21 8:56:21;4/16/21 8:59:16;;;Segundo grupo;10380903442200982;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;8
1269;4/17/21 17:09:01;4/17/21 17:11:10;;;Segundo grupo;10380903442200982;Não sei;Procedente ou procedente em parte;;7;6
26;3/23/21 17:08:11;3/23/21 17:08:56;;;Primeiro grupo;10480914404200927;IRPJ/CSLL;Procedente ou procedente em parte;;10;10
158;3/29/21 15:22:54;3/29/21 15:24:45;;;Terceiro grupo;10480914404200928;IRPJ/CSLL;Procedente ou procedente em parte;;9;9
179;3/30/21 11:30:47;3/30/21 11:32:23;;;Segundo grupo;10480914404200928;IRPJ/CSLL;Procedente ou procedente em parte;;9;8
201;3/30/21 14:05:12;3/30/21 14:09:39;;;Segundo grupo;10480914404200928;IRPJ/CSLL;Não sei;;8;8
221;3/30/21 15:26:48;3/30/21 15:28:35;;;Primeiro grupo;10480914404200928;IRPJ/CSLL;Procedente ou procedente em parte;;9;8
295;4/4/21 11:29:49;4/4/21 11:33:47;;;Primeiro grupo;10480914404200928;IRPJ/CSLL;Procedente ou procedente em parte;;9;9
404;4/9/21 20:10:27;4/9/21 20:12:23;;;Segundo grupo;10480914404200928;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;8
460;4/11/21 14:14:16;4/11/21 14:14:47;;;Segundo grupo;10480914404200928;IRPJ/CSLL;Procedente ou procedente em parte;;9;9
506;4/11/21 16:30:31;4/11/21 16:31:47;;;Terceiro grupo;10480914404200928;IRPJ/CSLL;Procedente ou procedente em parte;;7;7
546;4/12/21 9:11:31;4/12/21 9:16:17;;;Segundo grupo;10480914404200928;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;8
566;4/12/21 9:56:39;4/12/21 9:58:07;;;Terceiro grupo;10480914404200928;IRPJ/CSLL;Procedente ou procedente em parte;;9;8
619;4/12/21 11:37:45;4/12/21 11:39:26;;;Segundo grupo;10480914404200928;IRPJ/CSLL;Procedente ou procedente em parte;;10;10
815;4/13/21 11:47:32;4/13/21 11:48:25;;;Segundo grupo;10480914404200928;IRPJ/CSLL;Procedente ou procedente em parte;;10;10
846;4/13/21 14:29:32;4/13/21 14:32:54;;;Segundo grupo;10480914404200928;IRPJ/CSLL;Procedente ou procedente em parte;;9;9
921;4/14/21 10:35:35;4/14/21 10:36:39;;;Terceiro grupo;10480914404200928;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;9
970;4/14/21 13:11:21;4/14/21 13:48:35;;;Primeiro grupo;10480914404200928;IRPJ/CSLL;Procedente ou procedente em parte;;7;6
1035;4/15/21 8:00:25;4/15/21 8:00:41;;;Segundo grupo;10480914404200928;IRPJ/CSLL;Procedente ou procedente em parte;;8;7
1074;4/15/21 10:12:52;4/15/21 10:14:08;;;Terceiro grupo;10480914404200928;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;10
1120;4/15/21 12:21:28;4/15/21 12:24:15;;;Terceiro grupo;10480914404200928;IRPJ/CSLL;Procedente ou procedente em parte;;10;10
1172;4/15/21 19:23:23;4/15/21 19:24:37;;;Segundo grupo;10480914404200928;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;10
1249;4/17/21 16:22:00;4/17/21 16:24:28;;;Segundo grupo;10480914404200928;IRPJ/CSLL;Procedente ou procedente em parte;;7;5
32;3/23/21 18:21:40;3/23/21 18:24:53;;;Primeiro grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Não sei;;1;1
203;3/30/21 14:17:18;3/30/21 14:17:45;;;Segundo grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Improcedente;;9;9
227;3/30/21 15:38:33;3/30/21 15:40:10;;;Primeiro grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Não sei;;1;1
251;3/31/21 14:27:25;3/31/21 14:29:36;;;Segundo grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Improcedente;;6;5
300;4/4/21 12:09:33;4/4/21 12:23:32;;;Primeiro grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Não sei;;5;6
409;4/9/21 23:21:56;4/9/21 23:24:11;;;Segundo grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Improcedente;;6;3
466;4/11/21 14:17:42;4/11/21 14:17:59;;;Segundo grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Improcedente;;7;6
513;4/11/21 16:36:54;4/11/21 16:37:35;;;Terceiro grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Improcedente;;7;7
567;4/12/21 9:55:30;4/12/21 10:01:21;;;Segundo grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Improcedente;;9;9
585;4/12/21 10:12:55;4/12/21 10:15:12;;;Terceiro grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Não sei;;6;5
628;4/12/21 11:49:51;4/12/21 11:53:24;;;Segundo grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Improcedente;;9;9
711;4/12/21 21:20:10;4/12/21 21:22:30;;;Primeiro grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;6
732;4/12/21 21:40:49;4/12/21 21:43:08;;;Terceiro grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Não sei;;6;6
758;4/13/21 9:44:10;4/13/21 9:45:18;;;Primeiro grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Improcedente;;6;6
821;4/13/21 11:55:42;4/13/21 11:56:34;;;Segundo grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Improcedente;;10;10
855;4/13/21 14:53:34;4/13/21 14:56:58;;;Segundo grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Improcedente;;7;2
888;4/13/21 19:28:21;4/13/21 19:32:34;;;Primeiro grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Não sei;;6;6
927;4/14/21 10:50:34;4/14/21 10:50:58;;;Terceiro grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Improcedente;;6;5
1041;4/15/21 8:21:21;4/15/21 8:21:45;;;Segundo grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Improcedente;;5;5
1079;4/15/21 10:40:28;4/15/21 10:41:08;;;Terceiro grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;9
1080;4/15/21 10:48:56;4/15/21 10:49:36;;;Terceiro grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;9;9
1124;4/15/21 12:29:42;4/15/21 12:31:35;;;Terceiro grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Improcedente;;8;8
1178;4/15/21 19:32:28;4/15/21 19:33:42;;;Segundo grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Improcedente;;8;7
1255;4/17/21 16:44:33;4/17/21 16:46:12;;;Segundo grupo;10510723190201444;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;7
27;3/23/21 17:15:31;3/23/21 17:19:00;;;Segundo grupo;10580727100201207;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;10;10
180;3/30/21 11:32:26;3/30/21 11:34:03;;;Segundo grupo;10580727100201208;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;7
222;3/30/21 15:28:47;3/30/21 15:30:16;;;Primeiro grupo;10580727100201208;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;10;8
296;4/4/21 11:34:19;4/4/21 11:39:50;;;Primeiro grupo;10580727100201208;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;8;8
405;4/9/21 20:12:55;4/9/21 20:14:38;;;Segundo grupo;10580727100201208;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;9;7
461;4/11/21 14:14:54;4/11/21 14:15:26;;;Segundo grupo;10580727100201208;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;8;8
507;4/11/21 16:32:06;4/11/21 16:32:28;;;Terceiro grupo;10580727100201208;IRPJ/CSLL;Procedente ou procedente em parte;;6;7
548;4/12/21 9:16:30;4/12/21 9:21:19;;;Segundo grupo;10580727100201208;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;9;7
568;4/12/21 9:58:13;4/12/21 10:01:38;;;Terceiro grupo;10580727100201208;Não sei;Procedente ou procedente em parte;;7;7
579;4/12/21 10:09:35;4/12/21 10:10:02;;;Terceiro grupo;10580727100201208;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;9;8
621;4/12/21 11:39:28;4/12/21 11:42:12;;;Segundo grupo;10580727100201208;Não sei;Não sei;;10;10
707;4/12/21 21:14:55;4/12/21 21:17:36;;;Primeiro grupo;10580727100201208;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;9;7
740;4/12/21 21:52:49;4/12/21 21:54:24;;;Terceiro grupo;10580727100201208;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;10;10
816;4/13/21 11:48:38;4/13/21 11:50:51;;;Segundo grupo;10580727100201208;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;7;7
847;4/13/21 14:32:57;4/13/21 14:36:48;;;Segundo grupo;10580727100201208;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;6;2
887;4/13/21 19:12:00;4/13/21 19:28:18;;;Primeiro grupo;10580727100201208;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;10;10
922;4/14/21 10:37:55;4/14/21 10:39:33;;;Terceiro grupo;10580727100201208;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;7
971;4/14/21 13:48:54;4/14/21 13:50:19;;;Primeiro grupo;10580727100201208;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;7;6
1036;4/15/21 8:05:32;4/15/21 8:18:25;;;Segundo grupo;10580727100201208;Não sei;Procedente ou procedente em parte;;8;8
1075;4/15/21 10:17:06;4/15/21 10:17:43;;;Terceiro grupo;10580727100201208;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;10;10
1173;4/15/21 19:26:13;4/15/21 19:26:57;;;Segundo grupo;10580727100201208;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;7;6
1250;4/17/21 16:26:53;4/17/21 16:35:09;;;Segundo grupo;10580727100201208;IRPF - Imposto de Renda Pessoa Fisica;Procedente ou procedente em parte;;8;6
72;3/24/21 15:27:59;3/24/21 15:57:02;;;Terceiro grupo;10675000307200544;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;6;6
102;3/25/21 17:10:36;3/25/21 17:14:05;;;Primeiro grupo;10675000307200544;IRPJ/CSLL;Procedente ou procedente em parte;;6;6
161;3/29/21 15:33:54;3/29/21 15:36:38;;;Terceiro grupo;10675000307200544;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;6;5
261;3/31/21 16:13:46;3/31/21 16:16:45;;;Primeiro grupo;10675000307200544;IRPJ/CSLL;Não sei;;7;4
311;4/4/21 13:44:05;4/4/21 13:49:25;;;Primeiro grupo;10675000307200544;Não sei;Não sei;;3;3
320;4/4/21 17:45:13;4/4/21 17:46:37;;;Segundo grupo;10675000307200544;Não sei;Não sei;;5;4
420;4/9/21 23:49:26;4/9/21 23:51:59;;;Segundo grupo;10675000307200544;Não sei;Não sei;;5;3
476;4/11/21 14:22:06;4/11/21 14:22:41;;;Segundo grupo;10675000307200544;Não sei;Procedente ou procedente em parte;;8;6
523;4/11/21 16:45:32;4/11/21 16:46:08;;;Terceiro grupo;10675000307200544;IRPJ/CSLL;Procedente ou procedente em parte;;7;7
617;4/12/21 11:31:04;4/12/21 11:37:39;;;Segundo grupo;10675000307200544;NGDT - Normas Gerais de Direito Tributário;Não sei;;4;4
645;4/12/21 12:52:34;4/12/21 12:55:40;;;Segundo grupo;10675000307200544;Não sei;Não sei;;5;5
669;4/12/21 15:15:18;4/12/21 15:17:25;;;Terceiro grupo;10675000307200544;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;8;7
708;4/12/21 20:37:37;4/12/21 21:18:19;;;Terceiro grupo;10675000307200544;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;9;10
832;4/13/21 12:11:27;4/13/21 12:12:43;;;Segundo grupo;10675000307200544;IRPJ/CSLL;Procedente ou procedente em parte;;8;7
873;4/13/21 15:26:16;4/13/21 15:28:11;;;Segundo grupo;10675000307200544;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;6;3
891;4/13/21 19:35:47;4/13/21 19:38:44;;;Primeiro grupo;10675000307200544;IRPJ/CSLL;Procedente ou procedente em parte;;9;7
940;4/14/21 11:04:05;4/14/21 11:05:06;;;Terceiro grupo;10675000307200544;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;7;6
993;4/14/21 15:18:55;4/14/21 15:21:09;;;Segundo grupo;10675000307200544;PAF - Processo Administrativo Fiscal;Não sei;;4;4
1100;4/15/21 12:02:45;4/15/21 12:03:04;;;Terceiro grupo;10675000307200544;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;10;10
1140;4/15/21 12:42:00;4/15/21 12:46:02;;;Terceiro grupo;10675000307200544;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;10;10
1189;4/15/21 19:46:56;4/15/21 19:48:17;;;Segundo grupo;10675000307200544;PAF - Processo Administrativo Fiscal;Procedente ou procedente em parte;;8;7
1201;4/16/21 9:33:21;4/16/21 9:34:18;;;Segundo grupo;10675000307200544;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;4;4
1266;4/17/21 17:04:37;4/17/21 17:05:54;;;Segundo grupo;10675000307200544;Não sei;Não sei;;4;3
209;3/30/21 14:47:06;3/30/21 14:51:06;;;Segundo grupo;10675903184200928;IRPJ/CSLL;Improcedente;;7;7
262;3/31/21 16:16:47;3/31/21 16:18:16;;;Primeiro grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Improcedente;;9;7
321;4/4/21 17:46:50;4/4/21 17:47:42;;;Segundo grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Não sei;;5;3
421;4/9/21 23:52:05;4/9/21 23:55:40;;;Segundo grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Não sei;;7;3
430;4/10/21 9:13:57;4/10/21 9:19:14;;;Primeiro grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Improcedente;;7;7
477;4/11/21 14:22:44;4/11/21 14:23:10;;;Segundo grupo;10675903184200928;PAF - Processo Administrativo Fiscal;Improcedente;;9;6
524;4/11/21 16:46:10;4/11/21 16:46:40;;;Terceiro grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Improcedente;;8;7
620;4/12/21 11:37:52;4/12/21 11:40:43;;;Segundo grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Não sei;;3;3
646;4/12/21 12:55:42;4/12/21 12:56:55;;;Segundo grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Não sei;;6;6
662;4/12/21 15:05:56;4/12/21 15:07:30;;;Terceiro grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Improcedente;;10;10
670;4/12/21 15:17:39;4/12/21 15:20:27;;;Terceiro grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Improcedente;;9;8
698;4/12/21 20:35:43;4/12/21 20:37:27;;;Terceiro grupo;10675903184200928;PAF - Processo Administrativo Fiscal;Improcedente;;10;10
796;4/13/21 10:32:03;4/13/21 10:38:37;;;Terceiro grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Improcedente;;8;8
833;4/13/21 12:12:56;4/13/21 12:15:13;;;Segundo grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Improcedente;;9;9
874;4/13/21 15:28:13;4/13/21 15:29:46;;;Segundo grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Não sei;;3;1
892;4/13/21 19:38:47;4/13/21 19:40:01;;;Primeiro grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Improcedente;;10;10
941;4/14/21 11:05:09;4/14/21 11:06:05;;;Terceiro grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;9
1052;4/15/21 8:30:33;4/15/21 8:30:58;;;Segundo grupo;10675903184200928;Não sei;Improcedente;;7;6
1102;4/15/21 12:03:08;4/15/21 12:03:26;;;Terceiro grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Improcedente;;10;10
1141;4/15/21 12:46:40;4/15/21 12:47:05;;;Terceiro grupo;10675903184200928;NGDT - Normas Gerais de Direito Tributário;Improcedente;;10;10
1190;4/15/21 19:48:19;4/15/21 19:49:15;;;Segundo grupo;10675903184200928;PAF - Processo Administrativo Fiscal;Improcedente;;5;3
1267;4/17/21 17:05:56;4/17/21 17:08:25;;;Segundo grupo;10675903184200928;Não sei;Não sei;;6;5
44;3/23/21 18:47:25;3/23/21 18:48:09;;;Primeiro grupo;10675903184200929;NGDT - Normas Gerais de Direito Tributário;Improcedente;;10;10
73;3/24/21 15:57:05;3/24/21 16:00:40;;;Terceiro grupo;10675903184200929;NGDT - Normas Gerais de Direito Tributário;Improcedente;;8;7
263;3/31/21 16:18:19;3/31/21 16:19:34;;;Primeiro grupo;10675903185200972;NGDT - Normas Gerais de Direito Tributário;Improcedente;;9;7
274;3/31/21 18:13:21;3/31/21 18:19:09;;;Primeiro grupo;10675903185200972;NGDT - Normas Gerais de Direito Tributário;Improcedente;;9;8
322;4/4/21 17:47:44;4/4/21 17:48:58;;;Segundo grupo;10675903185200972;NGDT - Normas Gerais de Direito Tributário;Não sei;;5;3
422;4/9/21 23:55:42;4/9/21 23:57:37;;;Segundo grupo;10675903185200972;NGDT - Normas Gerais de Direito Tributário;Improcedente;;6;2
431;4/10/21 9:19:32;4/10/21 9:20:14;;;Primeiro grupo;10675903185200972;NGDT - Normas Gerais de Direito Tributário;Improcedente;;7;7
478;4/11/21 14:23:12;4/11/21 14:23:37;;;Segundo grupo;10675903185200972;PAF - Processo Administrativo Fiscal;Improcedente;;9;6
525;4/11/21 16:46:42;4/11/21 16:47:56;;;Terceiro grupo;10675903185200972;NGDT - Normas Gerais de Direito Tributário;Improcedente;;8;7
622;4/12/21 11:40:45;4/12/21 11:42:57;;;Segundo grupo;10675903185200972;NGDT - Normas Gerais de Direito Tributário;Não sei;;3;3
647;4/12/21 12:56:57;4/12/21 12:57:25;;;Segundo grupo;10675903185200972;NGDT - Normas Gerais de Direito Tributário;Não sei;;6;6
671;4/12/21 15:20:43;4/12/21 15:21:47;;;Terceiro grupo;10675903185200972;NGDT - Normas Gerais de Direito Tributário;Improcedente;;8;8
697;4/12/21 20:34:25;4/12/21 20:35:32;;;Terceiro grupo;10675903185200972;PAF - Processo Administrativo Fiscal;Improcedente;;10;10
720;4/12/21 21:30:24;4/12/21 21:32:04;;;Primeiro grupo;10675903185200972;PAF - Processo Administrativo Fiscal;Improcedente;;9;8
834;4/13/21 12:15:15;4/13/21 12:15:49;;;Segundo grupo;10675903185200972;NGDT - Normas Gerais de Direito Tributário;Improcedente;;9;9
875;4/13/21 15:29:49;4/13/21 15:31:38;;;Segundo grupo;10675903185200972;NGDT - Normas Gerais de Direito Tributário;Não sei;;3;1
942;4/14/21 11:06:07;4/14/21 11:06:48;;;Terceiro grupo;10675903185200972;NGDT - Normas Gerais de Direito Tributário;Procedente ou procedente em parte;;8;9
1053;4/15/21 8:31:24;4/15/21 8:31:46;;;Segundo grupo;10675903185200972;Não sei;Improcedente;;7;6
1103;4/15/21 12:03:28;4/15/21 12:03:52;;;Terceiro grupo;10675903185200972;NGDT - Normas Gerais de Direito Tributário;Improcedente;;10;10
1142;4/15/21 12:47:12;4/15/21 12:47:24;;;Terceiro grupo;10675903185200972;NGDT - Normas Gerais de Direito Tributário;Improcedente;;10;10
1191;4/15/21 19:49:18;4/15/21 19:50:18;;;Segundo grupo;10675903185200972;PAF - Processo Administrativo Fiscal;Improcedente;;5;4
1268;4/17/21 17:08:27;4/17/21 17:08:59;;;Segundo grupo;10675903185200972;Não sei;Não sei;;7;6
45;3/23/21 18:48:21;3/23/21 18:49:19;;;Primeiro grupo;10675903185200973;NGDT - Normas Gerais de Direito Tributário;Improcedente;;10;10
93;3/25/21 16:40:02;3/25/21 16:43:08;;;Primeiro grupo;10675903195200916;NGDT - Normas Gerais de Direito Tributário;Improcedente;;4;4
132;3/26/21 11:37:48;3/26/21 11:41:44;;;Primeiro grupo;10675903195200916;NGDT - Normas Gerais de Direito Tributário;Improcedente;;8;8
